"date,category,merchant,amount,note"
"2025-07-01,Groceries,Walmart,120.50,Weekly grocery shopping"
"2025-07-02,Utilities,Electric Company,80.25,June electricity bill"
"2025-07-03,Transport,Uber,15.00,Cab to office"
"2025-07-04,Entertainment,Netflix,12.99,Monthly subscription"
"2025-07-05,Food,McDonald's,8.75,Lunch"
"2025-07-06,Health,Pharmacy,25.00,Medicines"
"2025-07-07,Shopping,Amazon,199.99,New headphones"
"2025-07-08,Rent,Landlord,950.00,Monthly rent"
"2025-07-09,Education,Coursera,49.99,Online course"
"2025-07-10,Other,Coffee Shop,4.50,Coffee with friends"
